Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,Column2
12,25,20,2,0,60,3,caught,2,,v South Africa,Perth,30-Jan-09,ODI # 2808
5,18,13,0,0,38.46,3,run out,1,,v New Zealand,Perth,01-Feb-09,ODI # 2811
16,26,23,1,0,69.56,3,caught,1,,v New Zealand,Sydney,08-Feb-09,ODI # 2817
15,37,27,2,0,55.55,3,caught,2,,v New Zealand,Adelaide,10-Feb-09,ODI # 2819
2,7,3,0,0,66.66,3,caught,1,,v New Zealand,Brisbane,13-Feb-09,ODI # 2820
37,58,45,5,0,82.22,3,caught,1,,v South Africa,Durban,03-Apr-09,ODI # 2832
8,9,6,0,1,133.33,3,caught,1,,v South Africa,Centurion,05-Apr-09,ODI # 2834
20,36,35,2,0,57.14,3,caught,2,,v South Africa,Cape Town,09-Apr-09,ODI # 2839
53,79,67,4,0,79.1,3,caught,2,,v South Africa,Gqeberha,13-Apr-09,ODI # 2840
40,68,45,2,1,88.88,3,caught,1,,v South Africa,Johannesburg,17-Apr-09,ODI # 2841
48,98,60,5,0,80,3,caught,2,,v England,Lord's,12-Sep-09,ODI # 2888
126,151,109,14,3,115.59,3,caught,2,,v England,Nottingham,15-Sep-09,ODI # 2890
6,18,14,1,0,42.85,3,caught,1,,v England,Nottingham,17-Sep-09,ODI # 2891
53,-,67,8,0,79.1,3,caught,1,,v England,Chester-le-Street,20-Sep-09,ODI # 2892
79,129,95,9,1,83.15,3,stumped,1,,v West Indies,Johannesburg,26-Sep-09,ODI # 2897
65,131,88,4,1,73.86,3,run out,1,,v India,Centurion,28-Sep-09,ODI # 2901
32,90,64,1,0,50,3,caught,2,,v Pakistan,Centurion,30-Sep-09,ODI # 2903
111*,169,115,12,1,96.52,3,not out,2,,v England,Centurion,02-Oct-09,ODI # 2905
1,5,4,0,0,25,3,lbw,2,,v New Zealand,Centurion,05-Oct-09,ODI # 2907
74,113,85,8,2,87.05,3,lbw,1,,v India,Vadodara,25-Oct-09,ODI # 2913
12,24,16,2,0,75,3,lbw,2,,v India,Nagpur,28-Oct-09,ODI # 2915
59,124,92,4,0,64.13,2,lbw,1,,v India,Delhi,31-Oct-09,ODI # 2918
52,79,59,5,1,88.13,3,run out,1,,v India,Mohali,02-Nov-09,ODI # 2919
45,56,45,3,1,100,3,bowled,1,,v India,Hyderabad,05-Nov-09,ODI # 2923
25,58,57,3,0,43.85,3,caught,2,,v India,Guwahati,08-Nov-09,ODI # 2925
27,61,47,1,0,57.44,3,caught,2,,v Pakistan,Brisbane,22-Jan-10,ODI # 2944
13,35,28,0,0,46.42,3,caught,1,,v Pakistan,Sydney,24-Jan-10,ODI # 2945
0,3,3,0,0,0,3,lbw,1,,v Pakistan,Adelaide,26-Jan-10,ODI # 2946
30,64,41,1,1,73.17,3,caught,1,,v Pakistan,Perth,29-Jan-10,ODI # 2947
55,95,78,6,0,70.51,3,caught,2,,v Pakistan,Perth,31-Jan-10,ODI # 2948
49,69,61,1,2,80.32,3,bowled,1,,v West Indies,Melbourne,07-Feb-10,ODI # 2950
57*,70,55,8,2,103.63,3,not out,2,,v West Indies,Adelaide,09-Feb-10,ODI # 2952
22,-,36,2,0,61.11,3,bowled,1,,v West Indies,Sydney,12-Feb-10,ODI # 2954
106,148,112,6,2,94.64,3,caught,1,,v West Indies,Brisbane,14-Feb-10,ODI # 2955
61,-,55,3,1,110.9,3,caught,1,,v West Indies,Melbourne,19-Feb-10,ODI # 2960
44,87,56,4,0,78.57,3,caught,1,,v New Zealand,Napier,03-Mar-10,ODI # 2966
1,7,4,0,0,25,3,caught,1,,v New Zealand,Auckland,06-Mar-10,ODI # 2969
69,100,71,9,0,97.18,3,caught,2,,v New Zealand,Hamilton,09-Mar-10,ODI # 2971
50,60,35,8,1,142.85,3,lbw,2,,v New Zealand,Auckland,11-Mar-10,ODI # 2973
0,1,1,0,0,0,3,caught,2,,v New Zealand,Wellington,13-Mar-10,ODI # 2975
33,63,54,5,0,61.11,3,caught,1,,v Ireland,Dublin,17-Jun-10,ODI # 2994
21,39,23,3,0,91.3,3,caught,1,,v England,Southampton,22-Jun-10,ODI # 3000
13,17,21,1,0,61.9,3,caught,1,,v England,Cardiff,24-Jun-10,ODI # 3002
3,17,16,0,0,18.75,3,stumped,1,,v England,Manchester,27-Jun-10,ODI # 3003
92,130,93,10,0,98.92,3,caught,1,,v England,The Oval,30-Jun-10,ODI # 3004
15,30,27,3,0,55.55,3,caught,1,,v England,Lord's,03-Jul-10,ODI # 3011
10,25,16,2,0,62.5,3,caught,2,,v Sri Lanka,Sydney,05-Nov-10,ODI # 3066
28,50,36,0,0,77.77,3,run out,1,,v Zimbabwe,Ahmedabad,21-Feb-11,ODI # 3103
12,39,28,1,0,42.85,3,stumped,2,,v New Zealand,Nagpur,25-Feb-11,ODI # 3107
TDNB,-,-,-,-,-,-,-,-,,v Sri Lanka,Colombo (RPS),05-Mar-11,ODI # 3119
36,83,54,5,0,66.66,3,lbw,1,,v Kenya,Bengaluru,13-Mar-11,ODI # 3130
7,30,15,0,0,46.66,3,caught,2,,v Canada,Bengaluru,16-Mar-11,ODI # 3134
19,57,33,2,0,57.57,3,caught,1,,v Pakistan,Colombo (RPS),19-Mar-11,ODI # 3139
104,172,118,7,1,88.13,3,caught,1,,v India,Ahmedabad,24-Mar-11,ODI # 3143
34,36,31,5,1,109.67,3,run out,1,,v Bangladesh,Mirpur,09-Apr-11,ODI # 3149
37*,83,42,2,1,88.09,3,not out,2,,v Bangladesh,Mirpur,11-Apr-11,ODI # 3150
47,70,50,7,1,94,2,lbw,1,,v Bangladesh,Mirpur,13-Apr-11,ODI # 3151
53,92,71,5,0,74.64,3,bowled,2,,v Sri Lanka,Pallekele,10-Aug-11,ODI # 3175
90*,150,106,8,1,84.9,3,not out,2,,v Sri Lanka,Hambantota,14-Aug-11,ODI # 3178
